Centre Name,Total,Aggregate,
0347-DUDHONDI-05,9,0.00066381,
0380-KAMGAR CHAL 04,5,0.00036879,
0377-MUNSHIPURA JASHODA NAGAR-3,3,0.00022127,
0520-JIVANLAL NI CHALI,1,0.00007376,
0233-DANALI 02,7,0.0005163,
0109-GOTKHINDI 05,3,0.00022127,
0013-KAMERI-05,6,0.00044254,
0286-GAURI SHANKAR WADI 01,1,0.00007376,
0218-KHUMANPURA,3,0.00022127,
0281-VANGARVA,3,0.00022127,
0057-ITKARE 03,4,0.00029503,
0264-SUBHASH TEKDI -19,1,0.00007376,
0327-THANAPUDE-03,7,0.0005163,
0342-YADRAV 12,8,0.00059006,
0057-SURAJPOL-A,1,0.00007376,
0161-YEDEMACHINDRA GADH -01,2,0.00014751,
0272-LUHAKANA KALAN-B,1,0.00007376,
0023-MASUR-03,4,0.00029503,
0381-GAUTAM NAGAR-23,4,0.00029503,
0099-GADMUDSHINGI 05,1,0.00007376,
0256-KHOR-G,1,0.00007376,
0363-MANORAMA NAGAR 10,2,0.00014751,
0195-DHINDA DHANI,1,0.00007376,
0212-SANGRAM CHOWK 01,7,0.0005163,
0061-RINCHHIYA,8,0.00059006,
0124-ANKALKHOP-05,3,0.00022127,
0123-SHIRDHON 01,14,0.0010326,
0234-GANESH TALAV 01,11,0.00081133,
0285-LOONIYAWAS,2,0.00014751,
0125-KARNAL 05,3,0.00022127,
0094-BICHUN-C,1,0.00007376,
0031-WARNALI 02,1,0.00007376,
0064-BHOLEWADI-01,1,0.00007376,
0402-PATRIPOOL -03,5,0.00036879,
0600-BAGADU-6,2,0.00014751,
0205-SHAHAPUR 08,5,0.00036879,
0208-SUBHASH NAGAR-06,2,0.00014751,
0022-WALWA-02,24,0.00177017,
0366-CHOKAK 04,10,0.00073757,
0285-SHANIVAR PETH KORAVI GALLI 02,9,0.00066381,
0467-KATHANA,4,0.00029503,
0078-YADRAV 4,2,0.00014751,
0087-CHHARIYA,1,0.00007376,
0273-BUDDHA NAGAR 06,3,0.00022127,
0382-DIPALI NAGAR RANIPUR,1,0.00007376,
0061-RELA KI DHANI,10,0.00073757,
0348-NIPANIVESH KAGAL 01,2,0.00014751,
0552-MANDIRVADO WAS,1,0.00007376,
0169-DHAWLESHWAR COLONY 01,1,0.00007376,
0375-KISAN NAGAR A8,3,0.00022127,
0120-KARNAL-6,5,0.00036879,
0149-BHASLANA-A,2,0.00014751,
0263-KANJUR POLICE CHOWKI-06,1,0.00007376,
0624-ASHISH NAGAR-3,1,0.00007376,
0220-BHAGATSING VASAHAT 05,9,0.00066381,
0173-BHAISLANA-D,2,0.00014751,
0429-TATA NAGAR-24,7,0.0005163,
0216-JAYSINGPUR 25,11,0.00081133,
0108-PRATAP NAGAR-5,3,0.00022127,
0150-PATO-4,1,0.00007376,
0255-BAMROLI-05,13,0.00095884,
0013-VIJAYNAGAR,2,0.00014751,
0521-KOLSEWADI 6,1,0.00007376,
0307-SHAHPUR AMBEDKAR NAGAR 05,9,0.00066381,
0278-SURUL-02,6,0.00044254,
0016-PAL-04,3,0.00022127,
0387-NESH-4,3,0.00022127,
0107-RAM NAGAR-04,2,0.00014751,
0152-SN LOTUS COLONY-11,2,0.00014751,
0203-AMBEDKAR NAGAR - 3,5,0.00036879,
0328-ANANDWADI-16,8,0.00059006,
0126-KRUSHNA NAGAR-01,4,0.00029503,
0029-LINE BAZAR-02,1,0.00007376,
0361-SAKHARALE-11,7,0.0005163,
0274-BALKUM 03,2,0.00014751,
0438-LBC PANHALGAD-02,5,0.00036879,
0471-SHAKTI NAGAR-2,1,0.00007376,
0152-BHAMAIYA-5,2,0.00014751,
0345-KRISHNA CHOWK,3,0.00022127,
0526-JALIA VANTA,8,0.00059006,
0261-VIDYA VIHAR COLONY 01,2,0.00014751,
0280-SAWALI 02,9,0.00066381,
0229-KILA UPAR PAOTA,2,0.00014751,
0176-KUVEL NI MUVADI-2,4,0.00029503,
0437-DATTA NAGAR-06,3,0.00022127,
0301-KOROCHI 22,11,0.00081133,
0307-BIUR-02,9,0.00066381,
0481-SAMRATH ASHOK NAGAR-23,1,0.00007376,
0285-SUJATNAGAR-B,3,0.00022127,
0084-MINDHA-F,3,0.00022127,
0297-SHERI-2,9,0.00066381,
0265-LBC SARSWATI - 7 B,2,0.00014751,
0159-ZOZ,2,0.00014751,
0368-BUWAPADA - 23,8,0.00059006,
0247-BIUR-01,15,0.00110636,
0420-PARIXIT NAGAR-6,2,0.00014751,
0215-BHAINSALANA - E,2,0.00014751,
0448-PHULE NAGAR-01,1,0.00007376,
0383-DAMAVAV-4,5,0.00036879,
0047-BUWAPADA - 5,5,0.00036879,
0149-NEW BHENDIPADA-07,10,0.00073757,
0076-TUPARI-01,7,0.0005163,
0108-PATHAVAT,3,0.00022127,
0005-KAROLI-A,1,0.00007376,
0135-MAJIWADA-3,2,0.00014751,
0150-TYOD-A,5,0.00036879,
0617-JUGAL DAS NI CHALI-4,1,0.00007376,
0578-JAYANTILAL CHUNILAL NI CHALI-2,7,0.0005163,
0438-SEEM VISTAR PANDAVANIYA,1,0.00007376,
0200-JAGDAMBA COLONY-A,2,0.00014751,
0457-JAVOL-8,3,0.00022127,
0030-CHORE-01,7,0.0005163,
0206-MACHAR KHANI-A,1,0.00007376,
0235-YADAVWADI 02,4,0.00029503,
0198-GANGA NAGAR 01,2,0.00014751,
0100-MANGALIYANA,2,0.00014751,
0347-MAHAJAN NO VADO,8,0.00059006,
0537-TORNA-10,4,0.00029503,
0252-HARSHAD NAGAR-2,1,0.00007376,
0225-KAGIWARA-A,7,0.0005163,
0059-NANGAL-C,5,0.00036879,
0325-MOLAVI COMPOUND-2,7,0.0005163,
0279-SIDDHART NAGAR-1,1,0.00007376,
0143-KALE-01,6,0.00044254,
0226-HATAKANGALE 08,4,0.00029503,
0294-SURYA NAGAR-07,2,0.00014751,
0385-ANTROLI,7,0.0005163,
0313-PAREEK MOHALLA SIRSI,1,0.00007376,
0251-PORDA-1,1,0.00007376,
0056-KAROLI-D,4,0.00029503,
0185-CC-C-SECTOR-05,3,0.00022127,
0210-SIDDHATH NAGAR 06,1,0.00007376,
0291-KANTVEDA,2,0.00014751,
0321-DATTAWAD 06,7,0.0005163,
0202-PATEL NAGAR 02,2,0.00014751,
0173-BASDI KHURD-A,1,0.00007376,
0422-HATKANGALE 07,1,0.00007376,
0309-WALWA-16,16,0.00118012,
0124-SHIROL 03,7,0.0005163,
0138-BHAVANI NAGAR 01,11,0.00081133,
0155-TAKWADE 06,13,0.00095884,
0376-DEV CHOTIYA-2,1,0.00007376,
0063-TARALE-03,10,0.00073757,
0318-SAVARKAR NAGAR - B,2,0.00014751,
0159-SHAPUR 05,4,0.00029503,
0294-VINJOL-2,2,0.00014751,
0060-RANJITPURA-A,1,0.00007376,
0367-ASHTA-28,3,0.00022127,
0259-GOVINDPURA-D,2,0.00014751,
0180-BHAVANI NAGAR 04,10,0.00073757,
0314-VADVALI MUVADI-2,2,0.00014751,
0225-NASINGHPURA-B,15,0.00110636,
