Loan Type,Total,Aggregate,
HCL30@27.20 (Q315),46,0.00339308,
SNL25@25.96 (Q216_2),397,0.02928376,
SNL15@25.96 (Q316),7,0.00051634,
SRL20@25.96 (Q416),2,0.00014753,
HNL25@25.96 (Q316),542,0.03997935,
SRL35@25.35 (Q317),23,0.00169654,
SRL25@25.99 (Q116),3,0.00022129,
SNL25@25.96 (Q416),323,0.02382533,
HNL15@25.99 (Q116),1,0.00007376,
18m_HNL25@25.96(Q416),1,0.00007376,
SNL25@25.71 (Q217),14,0.00103268,
SRL30@25.96 (Q416),7,0.00051634,
SRL30@25.35 (Q317),2,0.00014753,
18m_SNL25@25.35(Q317),1,0.00007376,
SRL30@25.99 (Q116),31,0.00228664,
18m_HNL25@25.71(Q217),2,0.00014753,
SNL20@25.96 (Q316),11,0.00081139,
SBL20@27.60 (Q215),980,0.07228738,
HNL15@24.64 (Q118),1,0.00007376,
HRL30@27.00(Q415),36,0.00265545,
HRL35@24.91 (Q417),8,0.0005901,
SRL25@25.71 (Q217),2,0.00014753,
HRL25@25.99 (Q116),7,0.00051634,
SRL35@25.88 (Q117),48,0.00354061,
18m_SNL20@25.88(Q117),1,0.00007376,
HRL20@25.99 (Q116),3,0.00022129,
HCL20@27.20 (Q315),185,0.01364609,
HCL25@27.60,35,0.00258169,
STL10@25.96(Q416) Top-Up,16,0.0011802,
HRL30@24.64 (Q118),5,0.00036881,
HRL35@25.71 (Q217),1,0.00007376,
SBL25@27.60,9,0.00066386,
HRL35@25.35 (Q317),7,0.00051634,
SRL30@24.64 (Q118),7,0.00051634,
SNL25@25.96 (Q316),1394,0.10282511,
SRL25@27.00(Q415_2),4,0.00029505,
HNL15@25.96 (Q216),2,0.00014753,
SRL20@25.96 (Q216),1,0.00007376,
HCL20@27.72,10,0.00073763,
SNL20@27.00(Q415_2),3,0.00022129,
HRL25@25.96 (Q416),1,0.00007376,
HNL20@27.00(Q415_2),17,0.00125396,
SRL30@27.00(Q415_2),28,0.00206535,
SNL25@25.35 (Q317),10,0.00073763,
HNL25@27.00(Q415),127,0.00936785,
HRL30@27.00(Q415_2),86,0.00634359,
SRL40@24.91 (Q417),1,0.00007376,
HRL30@25.35 (Q317),3,0.00022129,
SRL35@25.96 (Q416),80,0.00590101,
SRL35@24.91 (Q417),21,0.00154902,
HNL15@25.96 (Q316),12,0.00088515,
SNL15@24.64 (Q118),12,0.00088515,
SRL35@25.71 (Q217),4,0.00029505,
SBL15@27.60 (Q215),2,0.00014753,
SBL25@27.60 (Q215),30,0.00221288,
HNL20@25.99 (Q116),3,0.00022129,
HNL25@25.96 (Q216_2),167,0.01231836,
HTL8@25.96(Q416) Top-Up,1,0.00007376,
HNL25@25.88 (Q117),47,0.00346684,
SRL25@25.35 (Q317),2,0.00014753,
HNL20@25.96 (Q316),1,0.00007376,
SNL25@24.91 (Q417),3,0.00022129,
HRL25@24.91 (Q417),1,0.00007376,
18m_HNL20@25.96(Q416),31,0.00228664,
18m_HRL25@25.88(Q117),1,0.00007376,
SBL25@27.20 (Q315),722,0.05325662,
HNL15@24.91 (Q417),1,0.00007376,
SRL20@24.64 (Q118),5,0.00036881,
HCL25@27.60 (Q215),81,0.00597477,
HRL25@25.96 (Q216_2),3,0.00022129,
18m_HNL25@25.35(Q317),2,0.00014753,
HCL15@27.20 (Q315),1,0.00007376,
SNL25@25.99 (Q116),1327,0.09788301,
SBL20@27.72(2),13,0.00095891,
SNL15@25.96 (Q216_2),2,0.00014753,
HNL20@27.00(Q415),4,0.00029505,
HRL30@25.96 (Q216),69,0.00508962,
SNL15@25.96 (Q216),2,0.00014753,
SNL25@27.00(Q415),467,0.03444715,
HRL30@25.96 (Q216_2),23,0.00169654,
HRL30@25.96 (Q316),47,0.00346684,
HTL10@25.96(Q416) Top-Up,6,0.00044258,
SNL25@27.00(Q415_2),672,0.04956849,
HNL25@27.00(Q415_2),405,0.02987387,
HRL30@25.99 (Q116),147,0.01084311,
SRL35@24.64 (Q118),64,0.00472081,
18m_HRL25@25.96(Q416),2,0.00014753,
HRL25@24.64 (Q118),2,0.00014753,
SRL40@24.64 (Q118),1,0.00007376,
SNL15@25.99 (Q116),1,0.00007376,
HRL20@25.96 (Q316),1,0.00007376,
HNL25@25.99 (Q116),608,0.04484768,
HCL20@27.60 (Q215),255,0.01880947,
HNL25@25.96 (Q216),236,0.01740798,
SNL20@27.00(Q415),5,0.00036881,
SNL25@25.96 (Q216),715,0.05274028,
SRL30@25.96 (Q216_2),11,0.00081139,
SBL20@27.60,803,0.05923139,
HRL35@25.96 (Q416),3,0.00022129,
SRL30@25.96 (Q316),27,0.00199159,
18m_SNL25@25.71(Q217),6,0.00044258,
HRL35@24.64 (Q118),24,0.0017703,
HRL30@25.71 (Q217),1,0.00007376,
HRL25@27.00(Q415_2),15,0.00110644,
SRL25@25.96 (Q416),1,0.00007376,
SRL25@25.96 (Q316),2,0.00014753,
SRL30@25.71 (Q217),1,0.00007376,
SRL30@25.96 (Q216),21,0.00154902,
SNL25@25.88 (Q117),92,0.00678616,
SNL20@25.96 (Q216),3,0.00022129,
SRL25@25.96 (Q216),2,0.00014753,
SNL15@25.71 (Q217),2,0.00014753,
HCL20@27.60,311,0.02294018,
HNL15@25.96 (Q416),3,0.00022129,
HRL20@24.64 (Q118),3,0.00022129,
HRL30@24.91 (Q417),2,0.00014753,
SRL25@24.64 (Q118),6,0.00044258,
SRL25@24.91 (Q417),4,0.00029505,
SBL20@27.20 (Q315),898,0.06623884,
HCL25@27.20 (Q315),288,0.02124364,
HRL30@25.88 (Q117),3,0.00022129,
18m_HNL25@25.88(Q117),3,0.00022129,
SNL15@25.96 (Q416),2,0.00014753,
SRL30@24.91 (Q417),2,0.00014753,
SBL30@27.20 (Q315),24,0.0017703,
SRL40@25.35 (Q317),3,0.00022129,
HNL15@25.96 (Q216_2),3,0.00022129,
HRL25@25.96 (Q316),3,0.00022129,
